Regime,Type,Subtype,Reason for Dictatorship
AFG,Dictatorship,Civilian Dictatorship,4. No alternation in power
ALB,Democracy,Parliamentary Democracy,
DZA,Dictatorship,Civilian Dictatorship,4. No alternation in power
AND,Democracy,Parliamentary Democracy,
AGO,Dictatorship,Civilian Dictatorship,1. Executive not elected
ATG,Democracy,Parliamentary Democracy,
ARG,Democracy,Presidential Democracy,
ARM,Democracy,Semi-Presidential Democracy,
AUS,Democracy,Parliamentary Democracy,
AUT,Democracy,Semi-Presidential Democracy,
AZE,Dictatorship,Civilian Dictatorship,4. No alternation in power
BHS,Democracy,Parliamentary Democracy,
BHR,Dictatorship,Royal Dictatorship,"1. Executive not elected

3. No parties"
BGD,Dictatorship,Civilian Dictatorship,"1. Executive not elected
2. No Legislature
3. No Legislative Parties"
BRB,Democracy,Parliamentary Democracy,
BLR,Dictatorship,Civilian Dictatorship,
BEL,Democracy,Parliamentary Democracy,
BLZ,Democracy,Parliamentary Democracy,
BEN,Democracy,Presidential Democracy,
BTN,Democracy,Parliamentary Democracy,
BOL,Democracy,Presidential Democracy,
BIH,Dictatorship,Civilian Dictatorship,1. Executive not elected
BWA,Dictatorship,Military Dictatorship,4. No alternation in power
BRA,Democracy,Presidential Democracy,
BRN,Dictatorship,Royal Dictatorship,"1. Executive not elected
2. Legislature not elected

3. One party"
BGR,Democracy,Semi-Presidential Democracy,
BFA,Dictatorship,Military Dictatorship,4. No alternation in power
BDI,Democracy,Presidential Democracy,
KHM,Dictatorship,Royal Dictatorship,Executive not elected No parties
CMR,Dictatorship,Civilian Dictatorship,4. No alternation in power
CAN,Democracy,Parliamentary Democracy,
CPV,Democracy,Semi-Presidential Democracy,
CAF,Dictatorship,Military Dictatorship,4. No alternation in power
TCD,Dictatorship,Military Dictatorship,4. No alternation in power
CHL,Democracy,Presidential Democracy,
CHN,Dictatorship,Civilian Dictatorship,3. All parties are in regime
COL,Democracy,Presidential Democracy,
COM,Democracy,Presidential Democracy,
COG,Dictatorship,Military Dictatorship,4. No alternation in power
CRI,Democracy,Presidential Democracy,
CIV,Dictatorship,Civilian Dictatorship,
HRV,Democracy,Semi-Presidential Democracy,
CUB,Dictatorship,Military Dictatorship,3. Legally single party state
CYP,Democracy,Presidential Democracy,
CZE,Democracy,Parliamentary Democracy,
COD,Dictatorship,Civilian Dictatorship,4. No alternation in power
DNK,Democracy,Parliamentary Democracy,
DJI,Dictatorship,Civilian Dictatorship,3. One legislative party
DMA,Democracy,Parliamentary Democracy,
DOM,Democracy,Presidential Democracy,
TLS,Democracy,Semi-Presidential Democracy,
ECU,Democracy,Presidential Democracy,
EGY,Dictatorship,Military Dictatorship,4. No alternation in power
SLV,Democracy,Presidential Democracy,
GNQ,Dictatorship,Military Dictatorship,4. No alternation in power
ERI,Dictatorship,Civilian Dictatorship,"1. Executive not elected
2. Legislature not elected

3. All parties banned

4.. No alternation in power"
EST,Democracy,Parliamentary Democracy,
ETH,Dictatorship,Civilian Dictatorship,"3. All parties are in regime
4. No alternation in power"
FJI,Dictatorship,Military Dictatorship,"1. Executive not elected
2. No Legislature

3. No Legislative parties"
FIN,Democracy,Semi-Presidential Democracy,
FRA,Democracy,Semi-Presidential Democracy,
GAB,Dictatorship,Civilian Dictatorship,4. No alternation in power
GMB,Dictatorship,Military Dictatorship,4. No alternation in power
GEO,Democracy,Semi-Presidential Democracy,
DEU,Democracy,Parliamentary Democracy,
GHA,Democracy,Presidential Democracy,
GRC,Democracy,Parliamentary Democracy,
GRD,Democracy,Parliamentary Democracy,
GTM,Democracy,Presidential Democracy,
GIN,Dictatorship,Military Dictatorship,1. Executive not elected
GNB,Democracy,Semi-Presidential Democracy,
GUY,Dictatorship,Civilian Dictatorship,4. No alternation in power
HTI,Dictatorship,Civilian Dictatorship,4. No alternation in power
HND,Democracy,Presidential Democracy,
HUN,Democracy,Parliamentary Democracy,
ISL,Democracy,Semi-Presidential Democracy,
IND,Democracy,Parliamentary Democracy,
IDN,Democracy,Presidential Democracy,
IRN,Dictatorship,Civilian Dictatorship,"1. Executive not elected
3. No Legislative parties"
IRQ,Dictatorship,Military Dictatorship,3. All parties in regime
IRL,Democracy,Semi-Presidential Democracy,
